Order_ID,Carrier,Carrier_Type,Origin_Hub,Destination_Store,Vehicle_Type,Route_Distance_KM,Service_Level,Scheduled_Departure_Hub,Actual_Departure_Hub,Scheduled_Arrival_Store,Actual_Arrival_Store,Departure_Delay_Min,Arrival_Delay_Min,Late_Departure_Flag,Late_Arrival_Flag,Transit_Damage_Flag,Damage_Type,Capacity_Units,Loaded_Units,Capacity_Utilization_Pct,Idle_Time_Min,Temp_Controlled,Avg_Temp_Celsius,MM_Cost_INR
ORD-000018,Shadowfax,Bike,HUB-East-03,STORE-Jaipur-001,Bike,929.0,Express,2024-08-04 22:18:55,2024-08-04 22:58:10,2024-08-06 11:39:10,2024-08-06 12:11:11,39.3,-7.2,1,0,0,None,84,37,44.0,65.4,0,,20991.32
ORD-000019,Ekart,Ground,HUB-North-01,STORE-Kolkata-001,Three-Wheeler,373.4,Standard,2023-04-03 07:52:08,2023-04-03 07:58:09,2023-04-04 00:15:06,2023-04-04 00:39:07,6.0,18.0,0,1,0,None,488,354,72.5,5.9,0,,7981.96
ORD-000020,DHL-IN,Air,HUB-West-04,STORE-Chennai-001,Three-Wheeler,1608.8,Standard,2023-05-03 09:32:03,2023-05-03 09:40:02,2023-05-06 16:30:59,2023-05-06 17:07:54,8.0,28.9,0,1,0,None,228,153,67.1,2.0,0,,47977.99
ORD-000021,Shadowfax,Bike,HUB-East-03,STORE-Nagpur-001,Three-Wheeler,267.0,Economy,2024-05-23 08:46:01,2024-05-23 08:53:06,2024-05-23 19:02:56,2024-05-24 03:23:24,7.1,493.4,0,1,0,None,168,123,73.2,63.2,0,,7006.81
ORD-000022,Shadowfax,Bike,HUB-North-01,STORE-Kolkata-001,Three-Wheeler,860.3,Express,2024-01-14 17:50:15,2024-01-14 18:33:12,2024-01-16 02:22:03,2024-01-16 02:44:56,43.0,-20.1,1,0,0,None,489,39,8.0,10.0,0,,19049.0
ORD-000023,FedEx-IN,Air,HUB-North-01,STORE-Bangalore-001,Mini-Truck,1731.6,Same-Day,2024-05-20 17:40:01,2024-05-20 21:28:45,2024-05-22 20:24:36,2024-05-23 00:14:55,228.7,1.6,1,0,0,None,234,137,58.5,22.2,0,,47165.61
ORD-000024,FedEx-IN,Air,HUB-West-04,STORE-Lucknow-001,Truck,151.6,Standard,2024-01-01 13:23:01,2024-01-01 13:30:22,2024-01-01 18:12:19,2024-01-01 18:47:14,7.4,27.6,0,1,0,None,433,39,9.0,8.5,0,,2826.87
ORD-000025,FedEx-IN,Air,HUB-East-03,STORE-Chennai-001,Van,787.5,Express,2023-04-05 20:17:26,2023-04-05 20:33:21,2023-04-06 10:59:25,2023-04-06 11:13:28,15.9,-1.9,1,0,0,None,76,12,15.8,13.8,0,,14360.18
ORD-000026,XpressBees,Ground,HUB-East-03,STORE-Jaipur-001,Truck,1327.0,Standard,2024-01-01 00:40:00,2024-01-01 00:59:55,2024-01-02 11:51:33,2024-01-02 11:54:37,19.9,-16.9,1,0,1,Wet damage,144,117,81.2,24.3,0,,18813.68
ORD-000027,Ekart,Ground,HUB-North-01,STORE-Hyderabad-001,Van,515.9,Express,2023-08-14 06:07:05,2023-08-14 06:19:09,2023-08-14 19:52:07,2023-08-14 20:12:47,12.1,8.6,0,0,0,None,340,193,56.8,24.9,0,,8868.05
ORD-000028,DTDC,Ground,HUB-North-01,STORE-Ahmedabad-001,Truck,231.9,Standard,2023-07-04 12:34:15,2023-07-04 12:21:54,2023-07-04 17:33:39,2023-07-04 17:39:13,-12.3,17.9,0,1,0,None,492,466,94.7,5.1,0,,5332.91
ORD-000029,DHL-IN,Air,HUB-North-01,STORE-Kolkata-001,Three-Wheeler,131.3,Standard,2024-06-01 22:12:46,2024-06-01 22:48:51,2024-06-02 02:13:03,2024-06-02 04:53:46,36.1,124.6,1,1,0,None,352,237,67.3,17.7,1,3.6,4214.72
ORD-000030,Ekart,Ground,HUB-West-04,STORE-Bangalore-001,Truck,1314.0,Standard,2023-12-18 17:44:19,2023-12-18 17:46:36,2023-12-20 01:19:26,2023-12-20 01:45:19,2.3,23.6,0,1,1,Crushed,268,23,8.6,25.9,0,,28810.62
ORD-000031,Shadowfax,Bike,HUB-North-01,STORE-Chennai-001,Van,363.7,Standard,2024-03-15 03:00:15,2024-03-15 03:05:14,2024-03-15 12:52:36,2024-03-15 13:28:58,5.0,31.4,0,1,0,None,171,37,21.6,13.5,0,,8338.97
ORD-000032,Ekart,Ground,HUB-East-03,STORE-Chennai-001,Bike,487.6,Standard,2023-04-22 03:43:36,2023-04-22 03:40:20,2023-04-23 02:49:56,2023-04-23 03:19:26,-3.3,32.8,0,1,0,None,50,36,72.0,7.0,0,,13500.97
ORD-000033,BlueDart,Air,HUB-North-01,STORE-Kolkata-001,Truck,1418.1,Express,2024-12-13 16:22:55,2024-12-13 16:45:14,2024-12-15 10:06:55,2024-12-15 10:12:44,22.3,-16.5,1,0,1,Tampered seal,141,110,78.0,10.1,0,,36980.6
ORD-000034,Shadowfax,Bike,HUB-South-02,STORE-Mumbai-001,Three-Wheeler,696.0,Same-Day,2023-07-15 06:29:16,2023-07-15 06:40:02,2023-07-16 16:50:43,2023-07-16 17:00:09,10.8,-1.3,0,0,0,None,337,302,89.6,1.2,0,,17741.21
ORD-000035,Ekart,Ground,HUB-West-04,STORE-Hyderabad-001,Mini-Truck,1562.0,Express,2024-09-19 20:46:09,2024-09-19 21:01:10,2024-09-21 19:17:18,2024-09-21 19:43:26,15.0,11.1,1,0,0,None,479,233,48.6,21.4,0,,22431.03
ORD-000036,Shadowfax,Bike,HUB-North-01,STORE-Mumbai-002,Truck,1568.3,Standard,2024-07-21 19:18:51,2024-07-21 19:30:14,2024-07-23 14:24:58,2024-07-23 14:33:55,11.4,-2.5,0,0,0,None,50,25,50.0,88.2,0,,48065.04
ORD-000037,BlueDart,Air,HUB-West-04,STORE-Bangalore-001,Mini-Truck,1610.2,Standard,2024-11-18 21:18:53,2024-11-18 21:44:28,2024-11-20 08:17:01,2024-11-20 08:46:30,25.6,3.9,1,0,1,Crushed,425,207,48.7,7.1,0,,19333.96
ORD-000038,DTDC,Ground,HUB-North-01,STORE-Kolkata-001,Bike,1356.0,Standard,2023-01-14 02:21:35,2023-01-14 02:26:28,2023-01-16 19:47:28,2023-01-16 23:14:17,4.9,201.9,0,1,0,None,500,111,22.2,38.8,0,,33787.59
ORD-000039,DHL-IN,Air,HUB-East-03,STORE-Jaipur-001,Van,1535.9,Economy,2023-03-18 15:04:09,2023-03-18 15:11:36,2023-03-20 04:14:10,2023-03-20 04:16:44,7.5,-4.9,0,0,0,None,403,118,29.3,15.5,1,2.1,40019.78
ORD-000040,FedEx-IN,Air,HUB-East-03,STORE-Delhi-002,Mini-Truck,1062.1,Express,2024-02-08 21:06:50,2024-02-08 21:07:41,2024-02-10 04:16:43,2024-02-10 04:42:55,0.9,25.3,0,1,0,None,318,81,25.5,68.4,0,,20413.26
ORD-000041,XpressBees,Ground,HUB-West-04,STORE-Lucknow-001,Three-Wheeler,208.8,Standard,2024-12-17 04:09:41,2024-12-17 04:24:53,2024-12-17 13:12:03,2024-12-17 13:32:48,15.2,5.5,1,0,0,None,65,54,83.1,2.4,1,2.2,3316.76
ORD-000042,FedEx-IN,Air,HUB-East-03,STORE-Jaipur-001,Truck,844.0,Standard,2024-11-15 10:55:07,2024-11-15 11:42:31,2024-11-16 05:01:13,2024-11-16 05:56:51,47.4,8.2,1,0,0,None,250,20,8.0,20.0,0,,21764.15
ORD-000043,XpressBees,Ground,HUB-North-01,STORE-Hyderabad-001,Bike,201.7,Standard,2023-10-05 13:15:31,2023-10-05 13:07:07,2023-10-06 00:21:20,2023-10-06 00:17:17,-8.4,4.3,0,0,0,None,214,88,41.1,8.7,1,2.4,4929.85
ORD-000044,DHL-IN,Air,HUB-Central-05,STORE-Indore-001,Truck,378.1,Standard,2024-01-04 20:26:05,2024-01-04 20:48:23,2024-01-05 07:42:16,2024-01-05 07:51:27,22.3,-13.1,1,0,0,None,266,98,36.8,14.7,1,2.9,7298.13
ORD-000045,BlueDart,Air,HUB-East-03,STORE-Chennai-001,Van,884.2,Same-Day,2023-05-21 07:15:01,2023-05-21 07:25:48,2023-05-22 07:13:51,2023-05-22 07:12:59,10.8,-11.7,0,0,0,None,456,161,35.3,22.9,0,,13469.01
ORD-000046,Delhivery,Ground,HUB-East-03,STORE-Bangalore-001,Van,618.8,Standard,2023-03-09 01:53:10,2023-03-09 01:52:47,2023-03-09 16:40:19,2023-03-09 17:08:48,-0.4,28.9,0,1,0,None,345,44,12.8,6.1,0,,11210.69
ORD-000047,DTDC,Ground,HUB-Central-05,STORE-Surat-001,Mini-Truck,212.3,Express,2023-09-07 20:05:17,2023-09-07 20:24:02,2023-09-08 01:57:18,2023-09-08 02:04:24,18.8,-11.7,1,0,0,None,59,13,22.0,55.2,0,,5043.25
ORD-000048,FedEx-IN,Air,HUB-East-03,STORE-Hyderabad-001,Bike,989.5,Express,2024-08-20 03:28:47,2024-08-20 03:19:51,2024-08-21 19:08:51,2024-08-21 19:00:24,-8.9,0.5,0,0,0,None,311,144,46.3,3.0,0,,18519.4
ORD-000049,Shadowfax,Bike,HUB-South-02,STORE-Delhi-002,Three-Wheeler,372.6,Express,2023-06-15 06:27:40,2023-06-15 07:08:42,2023-06-15 19:23:17,2023-06-15 20:09:41,41.0,5.3,1,0,0,None,429,427,99.5,20.1,0,,11195.08
ORD-000050,Shadowfax,Bike,HUB-East-03,STORE-Mumbai-001,Three-Wheeler,924.5,Standard,2023-10-09 08:01:23,2023-10-09 07:54:15,2023-10-10 19:24:48,2023-10-10 19:23:00,-7.1,5.3,0,0,0,None,149,48,32.2,18.6,0,,17335.47
ORD-000051,Shadowfax,Bike,HUB-East-03,STORE-Mumbai-002,Bike,1670.7,Standard,2023-06-11 01:35:22,2023-06-11 02:16:16,2023-06-13 20:54:25,2023-06-13 21:34:14,40.9,-1.1,1,0,0,None,203,165,81.3,4.5,0,,49997.18
ORD-000052,BlueDart,Air,HUB-North-01,STORE-Kolkata-001,Truck,1335.4,Same-Day,2024-04-15 16:16:19,2024-04-15 16:22:17,2024-04-16 20:08:14,2024-04-17 00:27:44,6.0,253.5,0,1,0,None,238,64,26.9,3.2,0,,16949.39
ORD-000053,Delhivery,Ground,HUB-West-04,STORE-Delhi-002,Truck,276.2,Standard,2024-02-02 21:45:46,2024-02-02 21:46:39,2024-02-03 04:04:19,2024-02-03 04:09:46,0.9,4.6,0,0,0,None,175,134,76.6,63.4,0,,8714.94
ORD-000054,FedEx-IN,Air,HUB-West-04,STORE-Indore-001,Van,966.5,Express,2023-11-17 12:56:54,2023-11-17 13:23:14,2023-11-18 06:39:58,2023-11-18 06:54:50,26.3,-11.5,1,0,0,None,163,97,59.5,17.8,0,,33662.54
ORD-000055,Ekart,Ground,HUB-North-01,STORE-Nagpur-001,Bike,940.1,Express,2024-03-29 22:39:47,2024-03-29 22:52:28,2024-03-31 17:51:51,2024-03-31 18:34:04,12.7,29.5,0,1,0,None,264,47,17.8,18.7,0,,28728.67
ORD-000056,FedEx-IN,Air,HUB-North-01,STORE-Hyderabad-001,Three-Wheeler,1380.5,Economy,2023-06-22 00:03:47,2023-06-22 00:04:11,2023-06-24 10:27:06,2023-06-24 10:47:18,0.4,19.8,0,1,0,None,252,89,35.3,6.0,0,,41875.2
ORD-000057,BlueDart,Air,HUB-Central-05,STORE-Ahmedabad-001,Truck,1176.4,Economy,2024-12-27 19:44:54,2024-12-27 20:18:37,2024-12-28 22:10:52,2024-12-28 23:35:52,33.7,51.3,1,1,1,Crushed,91,50,54.9,62.0,0,,23070.21
ORD-000058,Ekart,Ground,HUB-East-03,STORE-Mumbai-001,Bike,365.0,Same-Day,2023-11-27 09:40:47,2023-11-27 09:33:06,2023-11-28 05:51:04,2023-11-28 05:42:08,-7.7,-1.3,0,0,0,None,151,60,39.7,32.5,0,,9798.94
ORD-000059,Shadowfax,Bike,HUB-South-02,STORE-Nagpur-001,Truck,670.9,Standard,2024-05-24 05:56:19,2024-05-24 05:46:57,2024-05-25 02:54:54,2024-05-25 02:32:37,-9.4,-12.9,0,0,0,None,136,103,75.7,21.6,0,,10837.97
ORD-000060,Shadowfax,Bike,HUB-Central-05,STORE-Nagpur-001,Three-Wheeler,1722.8,Economy,2023-04-11 09:00:00,2023-04-11 09:12:11,2023-04-14 19:21:28,2023-04-14 19:35:04,12.2,1.4,0,0,0,None,286,21,7.3,14.0,0,,38555.63
ORD-000061,FedEx-IN,Air,HUB-North-01,STORE-Surat-001,Bike,1596.5,Standard,2023-01-06 22:56:22,2023-01-06 23:18:23,2023-01-10 15:17:17,2023-01-10 15:51:25,22.0,12.1,1,0,0,None,68,68,100.0,21.3,0,,47716.42
ORD-000062,XpressBees,Ground,HUB-East-03,STORE-Chennai-001,Truck,143.2,Standard,2024-02-14 07:30:31,2024-02-14 07:25:51,2024-02-14 12:09:50,2024-02-14 11:48:05,-4.7,-17.1,0,0,0,None,77,73,94.8,38.1,0,,4915.85
ORD-000063,FedEx-IN,Air,HUB-South-02,STORE-Lucknow-001,Bike,839.1,Standard,2023-11-13 02:25:04,2023-11-13 02:35:20,2023-11-14 09:10:25,2023-11-14 09:43:41,10.3,23.0,0,1,0,None,192,80,41.7,7.6,0,,28590.43
ORD-000064,XpressBees,Ground,HUB-South-02,STORE-Jaipur-001,Truck,1645.4,Economy,2024-01-28 00:07:44,2024-01-28 00:13:37,2024-01-29 23:50:50,2024-01-29 23:52:06,5.9,-4.6,0,0,0,None,376,203,54.0,19.1,1,7.4,55245.81
ORD-000065,BlueDart,Air,HUB-North-01,STORE-Ahmedabad-001,Bike,609.6,Standard,2024-02-17 11:12:10,2024-02-17 17:51:27,2024-02-18 23:11:03,2024-02-19 05:34:56,399.3,-15.4,1,0,0,None,100,38,38.0,5.6,0,,20320.32
ORD-000066,Delhivery,Ground,HUB-West-04,STORE-Pune-001,Mini-Truck,1045.2,Economy,2023-11-16 01:59:12,2023-11-16 01:54:46,2023-11-17 04:16:49,2023-11-17 04:21:07,-4.4,8.7,0,0,0,None,322,66,20.5,18.8,0,,18266.84
ORD-000067,XpressBees,Ground,HUB-Central-05,STORE-Indore-001,Three-Wheeler,1706.1,Express,2024-01-11 01:17:23,2024-01-11 08:59:03,2024-01-14 12:48:04,2024-01-14 20:43:23,461.7,13.6,1,0,0,None,61,55,90.2,0.3,0,,28580.16
ORD-000068,FedEx-IN,Air,HUB-South-02,STORE-Indore-001,Van,1577.1,Economy,2024-12-06 13:15:17,2024-12-06 13:29:28,2024-12-08 05:43:23,2024-12-08 06:03:06,14.2,5.5,0,0,0,None,465,128,27.5,6.2,0,,42168.44
ORD-000069,FedEx-IN,Air,HUB-North-01,STORE-Kolkata-001,Van,1617.6,Express,2024-04-01 21:31:36,2024-04-01 21:46:30,2024-04-03 00:27:45,2024-04-03 00:44:14,14.9,1.6,0,0,0,None,153,152,99.3,10.4,0,,37562.05
ORD-000070,Ekart,Ground,HUB-East-03,STORE-Mumbai-002,Mini-Truck,1168.1,Same-Day,2023-10-07 10:01:14,2023-10-07 10:10:13,2023-10-08 14:41:47,2023-10-08 14:42:38,9.0,-8.1,0,0,0,None,412,266,64.6,28.3,0,,31625.66
ORD-000071,BlueDart,Air,HUB-West-04,STORE-Hyderabad-001,Bike,1780.4,Same-Day,2023-02-12 14:12:01,2023-02-12 14:36:46,2023-02-16 23:08:21,2023-02-16 23:26:34,24.8,-6.5,1,0,0,None,338,88,26.0,7.6,1,4.3,57528.1
ORD-000072,BlueDart,Air,HUB-West-04,STORE-Surat-001,Three-Wheeler,1143.0,Same-Day,2023-06-24 13:01:14,2023-06-24 13:12:17,2023-06-26 02:48:11,2023-06-26 03:03:45,11.1,4.5,0,0,0,None,84,76,,59.2,0,,17744.39
ORD-000073,Delhivery,Ground,HUB-East-03,STORE-Kolkata-001,Van,1359.3,Standard,2023-07-09 14:30:51,2023-07-09 14:29:23,2023-07-10 15:12:50,2023-07-10 15:25:04,-1.5,13.7,0,0,0,None,412,61,14.8,8.7,0,,44161.68
ORD-000074,XpressBees,Ground,HUB-East-03,STORE-Mumbai-001,Bike,452.3,Express,2023-07-13 02:52:28,2023-07-13 03:12:58,2023-07-14 04:19:18,2023-07-14 04:37:08,20.5,-2.7,1,0,0,None,126,99,78.6,17.4,0,,11557.63
ORD-000075,Ekart,Ground,HUB-South-02,STORE-Indore-001,Mini-Truck,1163.4,Express,2023-07-15 15:52:30,2023-07-15 15:26:21,2023-07-16 20:13:24,2023-07-16 19:36:10,-26.1,-11.1,0,0,0,None,129,18,14.0,60.1,0,,13971.54
ORD-000076,Ekart,Ground,HUB-East-03,STORE-Mumbai-002,Three-Wheeler,610.2,Economy,2024-12-23 09:03:01,2024-12-23 09:21:07,2024-12-24 10:10:22,2024-12-24 10:36:15,18.1,7.8,1,0,0,None,371,168,45.3,16.2,0,,14033.85
ORD-000077,Delhivery,Ground,HUB-South-02,STORE-Hyderabad-001,Three-Wheeler,1060.9,Economy,2024-05-01 08:15:36,2024-05-01 08:55:56,2024-05-03 09:44:53,2024-05-03 10:23:29,40.3,-1.7,1,0,0,None,408,255,62.5,2.6,0,,30311.73
ORD-000078,BlueDart,Air,HUB-North-01,STORE-Bangalore-001,Bike,1222.9,Standard,2023-03-25 00:17:25,2023-03-25 00:51:55,2023-03-27 05:11:16,2023-03-27 05:40:07,34.5,-5.7,1,0,0,None,164,65,39.6,16.3,0,,26737.82
ORD-000079,DHL-IN,Air,HUB-East-03,STORE-Mumbai-001,Three-Wheeler,332.2,Economy,2023-03-13 02:20:16,2023-03-13 02:42:53,2023-03-13 14:04:39,2023-03-13 15:14:32,22.6,47.3,1,1,0,None,360,62,17.2,23.4,0,,10243.66
ORD-000080,XpressBees,Ground,HUB-Central-05,STORE-Jaipur-001,Truck,1724.9,Standard,2023-10-20 18:12:19,2023-10-20 19:25:05,2023-10-22 15:01:57,2023-10-22 16:27:18,72.8,12.6,1,0,0,None,117,74,63.2,1.4,0,,56482.15
ORD-000081,BlueDart,Air,HUB-West-04,STORE-Delhi-001,Bike,179.8,Express,2023-01-23 17:04:30,2023-01-23 17:18:47,2023-01-24 00:48:26,2023-01-24 01:27:36,14.3,24.9,0,1,0,None,332,294,88.6,27.5,0,,2663.44
ORD-000082,DTDC,Ground,HUB-Central-05,STORE-Indore-001,Mini-Truck,1674.9,Economy,2023-11-12 22:16:11,2023-11-12 22:34:50,2023-11-14 07:19:31,2023-11-14 07:44:35,18.7,6.4,1,0,0,None,465,313,67.3,0.7,0,,20328.46
ORD-000083,XpressBees,Ground,HUB-West-04,STORE-Surat-001,Mini-Truck,1212.2,Standard,2023-10-15 21:57:28,2023-10-15 21:59:30,2023-10-17 00:23:46,2023-10-17 00:25:31,2.0,-0.3,0,0,0,None,262,246,93.9,23.9,0,,15071.98
ORD-000084,DTDC,Ground,HUB-Central-05,STORE-Chennai-001,Van,1795.0,Express,2024-05-23 13:35:07,2024-05-23 13:35:37,2024-05-24 21:47:05,2024-05-24 21:49:02,0.5,1.4,0,0,0,None,109,38,34.9,3.6,0,,56479.81
ORD-000085,FedEx-IN,Air,HUB-West-04,STORE-Bangalore-001,Bike,1219.2,Express,2023-11-30 02:41:03,2023-11-30 02:31:10,2023-12-02 05:43:46,2023-12-02 05:25:51,-9.9,-8.0,0,0,0,None,83,24,28.9,6.3,0,,20066.45
ORD-000086,XpressBees,Ground,HUB-Central-05,STORE-Jaipur-001,Truck,465.1,Express,2024-10-07 14:20:02,2024-10-07 14:17:40,2024-10-08 03:54:27,2024-10-08 04:00:59,-2.4,8.9,0,0,0,None,452,208,46.0,18.1,1,5.3,12077.64
ORD-000087,FedEx-IN,Air,HUB-South-02,STORE-Nagpur-001,Van,1335.7,Standard,2024-09-15 14:10:34,2024-09-15 14:07:01,2024-09-16 18:24:44,2024-09-16 18:20:13,-3.5,-1.0,0,0,0,None,240,210,87.5,12.1,0,,16830.26
ORD-000088,Ekart,Ground,HUB-North-01,STORE-Jaipur-001,Three-Wheeler,1560.7,Express,2024-12-20 09:32:25,2024-12-20 09:41:55,2024-12-23 07:36:35,2024-12-23 08:39:05,9.5,53.0,0,1,0,None,434,265,61.1,44.6,0,,47137.22
ORD-000089,XpressBees,Ground,HUB-East-03,STORE-Lucknow-001,Three-Wheeler,553.3,Standard,2024-11-26 18:40:00,2024-11-26 21:19:54,2024-11-27 22:06:19,2024-11-28 00:37:21,159.9,-8.9,1,0,1,Crushed,109,11,10.1,3.0,0,,10497.47
ORD-000090,XpressBees,Ground,HUB-South-02,STORE-Mumbai-002,Three-Wheeler,897.5,Economy,2024-11-18 16:31:15,2024-11-18 16:23:59,2024-11-20 07:09:56,2024-11-20 07:54:55,-7.3,52.2,0,1,0,None,401,36,9.0,52.6,0,,19021.07
ORD-000091,FedEx-IN,Air,HUB-West-04,STORE-Nagpur-001,Truck,147.5,Same-Day,2024-06-05 19:08:43,2024-06-05 20:03:05,2024-06-05 23:27:53,2024-06-06 00:02:37,54.4,-19.6,1,0,0,None,100,24,24.0,11.6,0,,4015.6
ORD-000092,XpressBees,Ground,HUB-West-04,STORE-Kolkata-001,Van,834.8,Express,2024-10-15 10:53:28,2024-10-15 10:34:27,2024-10-16 06:13:03,2024-10-16 05:44:44,-19.0,-9.3,0,0,0,None,122,47,38.5,0.8,0,,11830.92
ORD-000093,Ekart,Ground,HUB-South-02,STORE-Ahmedabad-001,Bike,1381.6,Same-Day,2023-03-16 19:56:16,2023-03-16 20:06:33,2023-03-19 17:25:51,2023-03-19 17:29:23,10.3,-6.8,0,0,0,None,360,205,56.9,27.4,0,,22897.9
ORD-000094,DELHIVERY,Ground,HUB-Central-05,STORE-Surat-001,Van,85.4,Standard,2023-09-12 02:55:17,2023-09-12 02:51:47,2023-09-12 04:47:06,2023-09-12 04:26:40,-3.5,-17.0,0,0,0,None,216,195,90.3,11.8,1,5.2,2946.85
ORD-000095,FedEx-IN,Air,HUB-Central-05,STORE-Jaipur-001,Three-Wheeler,1479.2,Economy,2024-06-11 02:36:25,2024-06-11 07:01:41,2024-06-14 02:29:50,2024-06-14 06:45:42,265.3,-9.4,1,0,0,None,89,89,100.0,16.1,1,7.4,20198.34
ORD-000096,Delhivery,Ground,HUB-Central-05,STORE-Mumbai-002,Truck,300.4,Standard,2024-04-06 14:05:34,2024-04-06 13:56:05,2024-04-06 20:50:04,2024-04-06 20:30:16,-9.5,-10.3,0,0,0,None,414,52,12.6,2.0,1,2.5,7866.1
