Order_ID,Order_Value_INR,Priority,Product_Category,Customer_Segment,SKU_Count
ORD-000077,688.64,Low,Pharma,B2B,10
ORD-000078,213.37,Medium,Furniture,B2C,13
ORD-000079,173.77,High,Auto Parts,B2C,1
ORD-000080,250.29,Medium,Books,B2B,3
ORD-000081,214.49,High,Auto Parts,B2B,3
ORD-000082,128.31,Medium,Books,B2B,3
ORD-000083,154.86,Medium,Auto Parts,B2C,1
ORD-000084,520.45,Medium,Grocery,B2C,9
ORD-000085,173.03,Medium,Furniture,B2C,2
ORD-000086,407.93,Medium,Grocery,B2C,12
ORD-000087,289.85,Low,Furniture,D2C,8
ORD-000088,212.07,High,Pharma,D2C,9
ORD-000089,319.22,Medium,Furniture,D2C,2
ORD-000090,1569.24,Low,FMCG,B2C,1
ORD-000091,277.56,High,Furniture,B2C,8
ORD-000092,363.3,Medium,Pharma,B2B,14
ORD-000093,798.32,Low,Electronics,D2C,3
ORD-000094,289.7,Low,Electronics,D2C,1
ORD-000095,234.76,Low,Books,B2B,9
ORD-000096,68.43,Medium,Auto Parts,B2B,5
ORD-000097,383.2,Low,Grocery,B2C,6
ORD-000098,111.87,High,Pharma,B2B,11
ORD-000099,63.67,Medium,Auto Parts,B2B,1
ORD-000100,233.44,Low,Electronics,B2B,14
ORD-000101,67.37,Low,Furniture,B2C,11
ORD-000102,141.49,Medium,Apparel,B2C,6
ORD-000103,100.99,Medium,Auto Parts,B2C,9
ORD-000104,569.06,Low,Grocery,B2C,10
ORD-000105,882.32,Medium,Books,B2B,12
ORD-000106,169.51,Medium,Electronics,B2C,11
ORD-000107,169.03,Medium,Books,B2B,4
ORD-000108,501.7,High,Auto Parts,B2B,2
ORD-000109,397.85,Medium,Furniture,B2C,7
ORD-000110,101.9,Medium,Auto Parts,B2B,5
ORD-000111,107.08,Low,Grocery,B2B,14
ORD-000112,328.69,Low,Books,B2C,9
ORD-000113,163.43,Low,Apparel,B2C,2
ORD-000114,453.8,Medium,FMCG,B2B,11
ORD-000115,152.92,Medium,Pharma,B2C,11
ORD-000116,762.39,Low,Furniture,B2C,7
ORD-000117,216.43,Low,Electronics,B2C,14
ORD-000118,251.81,Medium,Books,B2B,3
ORD-000119,76.81,Medium,Books,B2C,6
ORD-000120,363.12,High,Furniture,B2C,12
ORD-000121,175.98,Medium,Pharma,B2C,3
ORD-000122,124.47,Low,Grocery,B2B,9
ORD-000123,85.45,Medium,FMCG,D2C,13
ORD-000124,838.08,Low,FMCG,B2C,8
ORD-000125,128.99,Medium,Furniture,B2B,1
ORD-000126,443.96,Medium,Books,B2B,8
ORD-000127,189.87,Low,Pharma,B2B,8
ORD-000128,233.54,Medium,Books,B2C,12
ORD-000129,158.83,Medium,Apparel,B2C,14
ORD-000130,245.3,Low,Books,B2C,8
ORD-000131,277.66,Medium,FMCG,B2C,13
ORD-000132,432.98,High,Books,B2B,10
ORD-000133,2272.19,Medium,Electronics,B2C,8
ORD-000134,457.53,Medium,Books,D2C,11
ORD-000135,31.85,Low,Auto Parts,B2C,6
ORD-000136,165.64,Medium,Auto Parts,B2C,3
ORD-000137,638.76,High,Auto Parts,D2C,6
ORD-000138,558.84,High,Grocery,B2C,13
ORD-000139,87.74,Medium,Auto Parts,B2C,8
ORD-000140,223.35,Medium,FMCG,B2C,5
ORD-000141,357.0,High,Furniture,D2C,6
ORD-000142,228.79,Medium,FMCG,D2C,10
ORD-000143,1222.46,Medium,Furniture,B2C,14
ORD-000144,416.14,Medium,Books,B2B,2
ORD-000145,330.89,Low,Electronics,D2C,6
ORD-000146,241.27,Low,Auto Parts,B2B,13
ORD-000147,728.73,Medium,Apparel,B2B,3
ORD-000148,256.16,Medium,Electronics,D2C,7
ORD-000149,120.55,High,Books,B2C,11
ORD-000150,68.29,High,Apparel,B2C,13
ORD-000151,83.83,Medium,Electronics,D2C,8
ORD-000152,233.18,Low,Apparel,B2B,4
ORD-000153,312.02,Medium,Books,B2C,1
ORD-000154,275.89,High,Furniture,B2C,4
ORD-000155,303.62,Low,Auto Parts,B2C,6
ORD-000156,43.58,Low,Apparel,B2B,1
ORD-000157,835.24,Low,Grocery,B2B,7
ORD-000158,35.3,Medium,Auto Parts,B2B,7
ORD-000159,260.29,Medium,Grocery,B2C,6
ORD-000160,1020.34,High,Auto Parts,B2C,2
ORD-000161,543.38,Medium,Books,B2C,10
ORD-000162,183.58,Medium,FMCG,B2C,4
ORD-000163,676.41,Medium,Pharma,B2C,13
ORD-000164,132.74,Low,Grocery,B2B,6
ORD-000165,494.9,Medium,Books,B2C,13
ORD-000166,289.16,Medium,Auto Parts,D2C,3
ORD-000167,273.01,High,Auto Parts,B2C,4
ORD-000168,164.01,High,Pharma,B2C,2
ORD-000169,404.56,Medium,Pharma,B2C,9
ORD-000170,54.23,Medium,Electronics,B2C,3
ORD-000171,443.46,Medium,Auto Parts,B2C,11
ORD-000172,148.04,Medium,Pharma,B2C,7
ORD-000173,85.0,Medium,FMCG,B2C,6
ORD-000174,108.97,Medium,Apparel,D2C,8
ORD-000175,33.77,Medium,Books,B2C,1
ORD-000176,171.94,Medium,Furniture,B2C,9
ORD-000177,462.64,High,Pharma,D2C,13
ORD-000178,123.82,Low,Auto Parts,B2C,11
ORD-000179,193.81,High,Books,B2B,7
ORD-000180,156.83,Medium,Grocery,D2C,7
ORD-000181,71.4,Medium,Pharma,B2B,13
ORD-000182,171.0,High,Auto Parts,B2C,6
ORD-000183,167.12,Medium,Books,B2C,11
ORD-000184,767.01,Low,Apparel,B2B,9
ORD-000185,1881.05,Medium,Furniture,B2C,1
ORD-000186,123.71,High,Books,B2C,4
ORD-000187,888.95,Medium,Apparel,B2B,7
ORD-000188,313.78,Low,Electronics,B2C,13
ORD-000189,983.49,Medium,Apparel,B2C,4
ORD-000190,220.04,High,Furniture,D2C,4
ORD-000191,626.8,Medium,Furniture,B2C,3
ORD-000192,375.23,High,Electronics,B2C,2
ORD-000193,313.77,High,FMCG,B2C,2
ORD-000194,252.23,High,Electronics,B2B,7
ORD-000195,248.87,Medium,Apparel,B2B,14
ORD-000196,155.41,Medium,Apparel,B2C,7
ORD-000197,606.37,Medium,Electronics,B2C,4
ORD-000198,129.48,Medium,Grocery,B2C,11
ORD-000199,215.04,Medium,Pharma,B2C,8
ORD-000200,133.27,Medium,Pharma,B2B,10
ORD-000201,79.86,Medium,Pharma,B2C,11
ORD-000202,624.03,High,FMCG,B2C,2
ORD-000203,87.99,Low,Apparel,B2C,6
ORD-000204,84.49,Medium,Furniture,B2C,12
ORD-000205,619.01,Medium,Pharma,B2B,2
ORD-000206,270.12,Low,Furniture,B2B,3
ORD-000207,291.66,Medium,Pharma,B2B,12
ORD-000208,781.47,Medium,Books,B2C,8
ORD-000209,172.65,Medium,Books,B2C,12
ORD-000210,146.31,Medium,Auto Parts,B2C,4
ORD-000211,397.28,Medium,Furniture,B2C,8
ORD-000212,268.56,Medium,Electronics,D2C,5
ORD-000213,228.08,Medium,Electronics,D2C,4
ORD-000214,377.95,Low,Electronics,B2B,3
ORD-000215,374.53,Low,Pharma,B2C,1
ORD-000216,331.18,Medium,Books,B2B,1
ORD-000217,209.55,Low,FMCG,B2B,8
ORD-000218,533.88,Low,Pharma,B2B,8
ORD-000219,114.89,Medium,Electronics,B2C,10
ORD-000220,72.59,Medium,Apparel,D2C,13
ORD-000221,65.23,Low,Books,B2B,12
ORD-000222,121.23,Medium,Books,B2C,10
ORD-000223,465.0,Low,Pharma,B2B,10
ORD-000224,33.07,Medium,Auto Parts,B2C,2
ORD-000225,755.37,High,Pharma,B2B,2
ORD-000226,246.1,Medium,Furniture,B2C,8
ORD-000227,457.25,Low,Apparel,B2B,12
ORD-000228,91.9,Low,Auto Parts,B2B,5
ORD-000229,156.25,Medium,Books,B2C,8
ORD-000230,255.33,Medium,Electronics,B2C,12
ORD-000231,350.88,Medium,Pharma,D2C,9
ORD-000232,56.42,Medium,Furniture,B2C,13
ORD-000233,56.82,Medium,Pharma,B2B,5
ORD-000234,180.52,Low,Furniture,B2B,5
ORD-000235,337.3,Low,Grocery,B2C,1
ORD-000236,39.33,Medium,FMCG,B2B,12
ORD-000237,334.14,Medium,Furniture,B2C,14
ORD-000238,189.42,Medium,Auto Parts,D2C,6
ORD-000239,70.27,Medium,FMCG,D2C,1
ORD-000240,276.44,Low,FMCG,B2B,11
ORD-000241,468.88,Medium,Electronics,B2C,6
ORD-000242,282.82,Medium,Electronics,B2B,11
ORD-000243,115.21,High,Furniture,D2C,9
ORD-000244,356.09,Medium,FMCG,B2B,9
ORD-000245,307.07,Low,Auto Parts,B2C,5
ORD-000246,266.66,High,Electronics,B2C,13
ORD-000247,847.63,Medium,Apparel,B2C,9
ORD-000248,56.12,High,Furniture,B2B,1
ORD-000249,,Medium,FMCG,B2C,11
ORD-000250,207.99,Low,Furniture,B2C,4
ORD-000251,249.32,High,Books,B2B,8
ORD-000252,1328.75,Medium,Electronics,B2C,4
ORD-000253,118.46,Medium,Electronics,B2C,5
ORD-000254,252.35,Medium,Books,B2C,14
ORD-000255,122.17,Medium,Apparel,B2C,14
ORD-000256,1029.02,Low,Auto Parts,B2C,5
ORD-000257,400.84,Low,Pharma,B2C,4
ORD-000258,341.1,Medium,Pharma,B2B,3
ORD-000259,173.25,High,Auto Parts,B2C,3
ORD-000260,178.9,Medium,Pharma,B2C,7
ORD-000261,519.95,Medium,Books,B2B,13
ORD-000262,294.64,Medium,Auto Parts,B2C,10
ORD-000263,106.14,Medium,Auto Parts,D2C,5
ORD-000264,362.95,Medium,Pharma,B2B,13
ORD-000265,144.91,Medium,Electronics,D2C,10
ORD-000266,265.59,Medium,Furniture,D2C,3
ORD-000267,484.25,Medium,Furniture,B2B,7
ORD-000268,138.7,Low,Books,B2B,1
ORD-000269,112.38,Medium,Books,B2C,7
ORD-000270,186.89,Medium,Apparel,B2C,7
ORD-000271,717.73,High,Books,B2C,1
ORD-000272,128.63,Low,Pharma,B2C,6
ORD-000273,282.47,Medium,Pharma,B2B,10
ORD-000274,100.2,Medium,Electronics,D2C,5
ORD-000275,351.48,Low,Apparel,B2C,3
ORD-000276,605.64,Low,Pharma,B2C,4
ORD-000277,418.63,High,Electronics,B2C,7
ORD-000278,341.04,Medium,Auto Parts,B2C,7
ORD-000279,464.22,Medium,Grocery,B2B,12
ORD-000280,300.39,Medium,Auto Parts,B2C,9
ORD-000281,67.22,Low,Auto Parts,B2B,8
ORD-000282,502.2,Medium,Books,B2B,8
ORD-000283,180.23,Medium,Books,B2C,9
ORD-000284,123.31,High,Furniture,B2C,13
ORD-000285,209.44,Low,Grocery,B2C,9
ORD-000286,165.73,Low,Grocery,B2C,2
ORD-000287,162.58,Low,Pharma,B2B,11
ORD-000288,184.95,Medium,Books,B2C,1
ORD-000289,43.83,Medium,Furniture,B2B,2
ORD-000290,485.41,Medium,Pharma,D2C,4
ORD-000291,115.67,Medium,Books,B2C,14
ORD-000292,411.46,Low,Grocery,B2C,12
ORD-000293,346.49,Medium,Auto Parts,B2B,12
ORD-000294,658.7,Medium,Furniture,B2C,2
ORD-000295,234.42,Medium,Auto Parts,B2B,8
ORD-000296,350.54,Medium,Electronics,B2B,2
ORD-000297,209.23,Medium,Furniture,B2B,1
ORD-000298,319.45,Low,Furniture,D2C,6
ORD-000299,430.45,Low,Pharma,B2B,2
ORD-000300,106.16,High,Grocery,B2C,13
ORD-000301,352.65,Medium,FMCG,B2C,8
ORD-000302,857.76,High,Books,D2C,2
ORD-000303,54.63,Medium,Books,B2B,12
ORD-000304,104.14,Medium,Apparel,B2B,12
ORD-000305,406.44,Medium,Grocery,D2C,14
ORD-000306,109.52,Medium,Auto Parts,D2C,5
ORD-000307,516.83,High,Grocery,B2C,4
ORD-000308,477.18,High,Apparel,B2C,1
ORD-000309,470.8,Medium,Electronics,B2C,3
ORD-000310,291.51,Medium,Apparel,B2B,6
ORD-000311,86.42,High,Auto Parts,B2B,8
ORD-000312,407.62,Medium,Pharma,B2C,4
ORD-000313,571.45,High,Auto Parts,B2C,11
ORD-000314,409.61,Medium,Furniture,B2C,3
ORD-000315,119.28,Low,Apparel,B2B,1
ORD-000316,104.24,Medium,Auto Parts,B2B,1
ORD-000317,1631.76,Medium,Apparel,B2B,11
ORD-000318,205.77,Low,Pharma,D2C,7
ORD-000319,180.15,Low,Apparel,B2C,12
ORD-000320,79.64,Low,Electronics,B2C,6
ORD-000321,195.42,High,Grocery,B2C,1
ORD-000322,145.16,Low,Auto Parts,B2C,3
ORD-000323,122.21,Medium,Books,B2B,4
ORD-000324,179.93,Medium,FMCG,B2C,1
ORD-000325,,High,Pharma,B2C,10
ORD-000326,232.04,High,Furniture,B2C,1
ORD-000327,334.28,Medium,FMCG,B2C,6
ORD-000328,132.03,Low,FMCG,B2C,3
ORD-000329,115.85,Medium,FMCG,B2C,14
ORD-000330,148.07,High,Auto Parts,B2C,12
ORD-000331,399.85,Medium,Auto Parts,B2B,14
ORD-000332,293.3,Medium,FMCG,B2C,8
ORD-000333,522.46,Low,Pharma,B2C,11
ORD-000334,126.21,Medium,Apparel,D2C,5
ORD-000335,65.18,Medium,Electronics,B2B,7
ORD-000336,399.93,Medium,FMCG,B2B,9
ORD-000337,662.93,Medium,Furniture,B2C,14
ORD-000338,55.31,Medium,Pharma,B2B,5
ORD-000339,71.51,High,FMCG,B2C,12
ORD-000340,483.95,Medium,FMCG,B2C,13
ORD-000341,110.96,Medium,Furniture,B2C,10
ORD-000342,1835.46,Low,Auto Parts,D2C,4
ORD-000343,203.87,Medium,FMCG,D2C,2
ORD-000344,168.3,High,Auto Parts,B2B,4
ORD-000345,541.41,Medium,Electronics,B2C,6
ORD-000346,267.67,High,Auto Parts,D2C,2
ORD-000347,106.03,Medium,Furniture,B2B,4
ORD-000348,575.27,Low,Furniture,B2B,2
ORD-000349,59.67,High,Grocery,B2B,2
ORD-000350,521.18,Medium,FMCG,D2C,8
ORD-000351,165.44,Medium,Grocery,B2C,14
ORD-000352,672.04,Medium,Auto Parts,B2B,2
ORD-000353,38.33,Medium,Electronics,B2B,12
ORD-000354,447.47,Low,Furniture,B2C,4
ORD-000355,249.63,Low,FMCG,B2C,10
ORD-000356,823.23,Low,FMCG,B2C,8
ORD-000357,150.78,High,Grocery,B2C,14
ORD-000358,291.55,Medium,Grocery,B2B,7
ORD-000359,281.57,High,Grocery,B2C,11
ORD-000360,287.18,Low,FMCG,D2C,5
ORD-000361,215.47,Medium,Furniture,B2C,8
ORD-000362,707.61,High,Grocery,B2B,4
ORD-000363,694.74,Low,Electronics,D2C,12
ORD-000364,342.78,Low,Furniture,B2B,3
ORD-000365,130.56,Medium,Books,D2C,9
ORD-000366,534.14,Medium,FMCG,B2C,14
ORD-000367,305.06,High,Apparel,B2C,5
ORD-000368,317.92,Medium,Pharma,B2B,10
ORD-000369,92.54,Medium,Furniture,B2B,4
ORD-000370,149.59,Low,Pharma,B2B,5
ORD-000371,440.3,Medium,Pharma,B2B,9
ORD-000372,303.97,Medium,Furniture,B2C,9
ORD-000373,98.61,Low,Auto Parts,B2C,11
ORD-000374,213.71,Medium,Electronics,B2C,14
ORD-000375,54.01,Medium,Books,B2B,6
ORD-000376,150.29,Low,Electronics,B2C,14
ORD-000377,907.18,Medium,Pharma,B2C,6
ORD-000378,471.4,Medium,FMCG,B2B,2
ORD-000379,363.01,High,Books,B2C,7
ORD-000380,73.13,Medium,Furniture,D2C,6
ORD-000381,315.23,Medium,Apparel,B2B,7
ORD-000382,263.08,High,FMCG,B2C,1
ORD-000383,269.83,High,FMCG,B2C,12
ORD-000384,75.93,Medium,Apparel,B2B,7
ORD-000385,211.18,Low,Auto Parts,B2B,4
ORD-000386,687.81,Medium,FMCG,B2C,4
ORD-000387,1211.41,Medium,Electronics,B2C,1
ORD-000388,1559.3,Low,Furniture,B2C,9
ORD-000389,1294.44,Low,Electronics,B2B,8
ORD-000390,374.36,Medium,Electronics,B2B,4
ORD-000391,377.11,High,Electronics,B2C,6
ORD-000392,214.63,Low,Books,D2C,3
ORD-000393,94.69,Low,Pharma,B2C,6
ORD-000394,75.22,High,Pharma,B2B,4
ORD-000395,93.09,Medium,FMCG,B2C,11
ORD-000396,1424.63,High,Pharma,B2C,7
ORD-000397,107.35,Low,Pharma,B2C,7
ORD-000398,585.18,Low,Electronics,B2B,11
ORD-000399,498.05,High,Pharma,B2B,10
ORD-000400,94.22,Medium,Electronics,B2C,3
ORD-000401,357.2,Medium,Electronics,D2C,14
ORD-000402,147.94,Low,FMCG,B2C,1
ORD-000403,257.52,Medium,Pharma,B2C,12
ORD-000404,596.08,High,Grocery,B2C,5
ORD-000405,299.27,Medium,Books,B2B,8
ORD-000406,659.69,Medium,Books,B2C,6
ORD-000407,565.53,High,Electronics,B2C,12
ORD-000408,474.89,Medium,Apparel,D2C,11
ORD-000409,302.18,Medium,Apparel,B2C,14
ORD-000410,260.0,Medium,Auto Parts,B2C,6
ORD-000411,625.63,Medium,Furniture,B2C,1
ORD-000412,166.64,Medium,FMCG,B2C,11
ORD-000413,143.69,Medium,Electronics,B2C,12
ORD-000414,,Medium,Books,B2B,1
ORD-000415,215.46,Medium,Auto Parts,B2C,1
ORD-000416,51.66,Medium,Pharma,B2B,12
ORD-000417,46.84,Medium,Auto Parts,B2C,12
ORD-000418,493.03,Medium,Grocery,D2C,4
ORD-000419,166.82,High,FMCG,B2B,2
ORD-000420,859.33,Medium,Books,B2C,10
ORD-000421,262.51,Medium,Furniture,B2B,7
ORD-000422,302.95,Low,Apparel,B2B,2
ORD-000423,127.29,Medium,Books,B2C,14
ORD-000424,845.37,Medium,Apparel,B2C,12
ORD-000425,115.32,Low,Auto Parts,B2B,6
ORD-000426,350.91,Medium,Grocery,B2C,5
ORD-000427,60.78,Medium,Electronics,B2B,11
ORD-000428,37.03,High,Grocery,B2B,2
ORD-000429,80.01,Low,FMCG,B2C,14
ORD-000430,184.94,Low,Furniture,B2C,8
ORD-000431,278.55,Medium,Auto Parts,B2C,12
ORD-000432,771.15,High,Electronics,B2C,7
ORD-000433,50.28,Medium,Pharma,B2C,14
ORD-000434,40.6,Low,Auto Parts,D2C,11
ORD-000435,416.58,Low,Electronics,B2C,13
ORD-000436,140.44,Medium,Auto Parts,D2C,10
ORD-000437,166.43,High,Grocery,B2C,9
ORD-000438,777.28,Medium,Apparel,B2C,9
ORD-000439,314.78,Medium,Pharma,B2B,2
ORD-000440,128.38,Low,Books,B2B,2
ORD-000441,139.52,Medium,Electronics,B2C,6
ORD-000442,292.33,Medium,Apparel,D2C,2
ORD-000443,139.64,Low,Electronics,B2B,1
ORD-000444,86.51,Low,Furniture,D2C,1
ORD-000445,891.0,Medium,Electronics,B2B,8
ORD-000446,611.29,High,Books,B2B,10
ORD-000447,416.51,Medium,Apparel,B2C,9
ORD-000448,125.62,Medium,Auto Parts,B2C,7
ORD-000449,130.33,Medium,Furniture,B2C,7
ORD-000450,358.99,Medium,Apparel,B2C,1
ORD-000451,691.18,Low,Furniture,D2C,2
ORD-000452,288.86,Low,Apparel,B2C,9
ORD-000453,181.8,Low,Grocery,B2C,3
ORD-000454,65.01,High,Electronics,B2B,13
ORD-000455,255.0,Low,Grocery,B2B,8
ORD-000456,130.66,Medium,Pharma,B2B,9
ORD-000457,197.18,High,Furniture,B2C,9
ORD-000458,160.69,Medium,Auto Parts,B2C,9
ORD-000459,220.63,Medium,Grocery,B2B,13
ORD-000460,455.72,Medium,Grocery,B2C,12
ORD-000461,93.84,Low,Apparel,D2C,8
ORD-000462,225.41,High,Electronics,B2C,11
ORD-000463,403.85,High,Books,B2C,14
ORD-000464,213.4,High,Electronics,B2B,13
ORD-000465,212.93,Medium,Grocery,B2B,10
ORD-000466,255.96,Low,Auto Parts,B2C,11
ORD-000467,351.85,High,FMCG,B2B,8
ORD-000468,104.45,Medium,Pharma,D2C,10
ORD-000469,1263.72,Low,Pharma,B2C,4
ORD-000470,2481.7,Medium,Apparel,B2C,11
ORD-000471,159.59,High,Electronics,B2C,7
ORD-000472,88.35,High,Furniture,D2C,3
ORD-000473,265.87,Medium,Pharma,B2C,6
ORD-000474,158.52,Low,Grocery,B2C,2
ORD-000475,673.5,High,Auto Parts,B2B,10
ORD-000476,332.23,High,Pharma,B2B,7
ORD-000477,255.29,Medium,Electronics,D2C,4
ORD-000478,,High,FMCG,B2C,2
ORD-000479,58.33,Medium,Apparel,B2C,6
ORD-000480,477.44,Medium,Furniture,B2C,7
ORD-000481,284.49,Medium,Furniture,B2C,4
ORD-000482,321.62,Medium,Electronics,B2C,3
ORD-000483,374.15,Medium,Pharma,B2C,4
ORD-000484,139.7,Low,Apparel,B2C,13
ORD-000485,882.52,Medium,Books,B2B,8
ORD-000486,75.84,Medium,Electronics,B2B,12
ORD-000487,322.59,High,Grocery,D2C,13
ORD-000488,34.75,High,FMCG,B2B,12
ORD-000489,89.03,Medium,Apparel,B2C,3
ORD-000490,236.84,High,FMCG,B2C,6
ORD-000491,167.97,Low,Books,B2C,6
ORD-000492,527.61,High,FMCG,B2C,14
ORD-000493,248.89,Low,Furniture,B2C,6
ORD-000494,1665.4,Low,Pharma,B2C,13
ORD-000495,307.96,High,Books,B2C,9
ORD-000496,169.86,Medium,Apparel,B2C,5
ORD-000497,310.07,High,Pharma,B2B,2
ORD-000498,80.05,Low,Electronics,B2B,2
ORD-000499,211.48,High,Books,D2C,13
ORD-000500,358.15,Medium,Apparel,B2B,8
ORD-000501,753.38,Low,FMCG,B2C,9
ORD-000502,168.37,Medium,Auto Parts,D2C,7
ORD-000503,298.51,Low,Furniture,B2C,6
ORD-000504,240.83,Medium,Electronics,B2C,10
ORD-000505,23.12,Medium,Grocery,B2C,14
ORD-000506,63.92,Medium,Grocery,B2B,12
ORD-000507,473.3,Medium,Furniture,B2C,6
ORD-000508,85.35,Low,Apparel,B2C,14
ORD-000509,232.47,Low,Books,B2C,11
ORD-000510,315.58,Low,Apparel,B2C,1
ORD-000511,87.15,Medium,Grocery,D2C,14
ORD-000512,178.18,Medium,Apparel,B2C,8
ORD-000513,171.95,High,Electronics,B2B,1
ORD-000514,31.09,High,FMCG,B2B,11
ORD-000515,433.64,Medium,Electronics,B2C,5
ORD-000516,159.19,Medium,Electronics,B2C,5
ORD-000517,574.73,Medium,Pharma,B2C,7
ORD-000518,126.82,Medium,Books,D2C,10
ORD-000519,376.74,High,Electronics,B2C,13
ORD-000520,355.67,Low,Apparel,B2C,11
ORD-000521,352.32,High,Apparel,B2C,14
ORD-000522,153.55,Low,Apparel,B2B,2
ORD-000523,385.4,Medium,Apparel,B2C,9
ORD-000524,851.0,High,Books,B2C,10
ORD-000525,373.88,Low,Grocery,D2C,12
ORD-000526,912.76,Low,Pharma,D2C,5
ORD-000527,245.94,Medium,Apparel,B2C,4
ORD-000528,583.21,High,Grocery,B2C,11
ORD-000529,217.51,Medium,Apparel,B2C,13
ORD-000530,80.51,Medium,Grocery,B2B,4
ORD-000531,140.51,Medium,FMCG,B2B,8
ORD-000532,279.58,Medium,Pharma,B2C,7
ORD-000533,67.41,High,Electronics,B2B,1
ORD-000534,723.6,Low,Books,B2C,12
ORD-000535,345.57,High,Apparel,B2B,1
ORD-000536,413.93,Medium,Auto Parts,D2C,13
ORD-000537,131.43,Medium,Auto Parts,D2C,6
ORD-000538,196.84,Medium,Pharma,B2C,13
ORD-000539,115.36,Medium,Furniture,D2C,9
ORD-000540,327.94,Medium,Auto Parts,D2C,6
ORD-000541,267.05,Medium,Auto Parts,B2C,13
ORD-000542,162.58,Medium,Electronics,B2C,10
ORD-000543,176.64,Low,Books,B2C,13
ORD-000544,215.18,Low,FMCG,D2C,6
ORD-000545,533.23,Low,Furniture,D2C,1
ORD-000546,255.69,Medium,Pharma,B2B,2
ORD-000547,109.31,Low,Books,B2C,13
ORD-000548,365.07,Medium,Electronics,B2C,8
