Order_ID,Carrier,Carrier_Type,City,Zone,Service_Level,Product_Category,Payment_Mode,Vehicle_Type,Distance_KM,Scheduled_Delivery_Start,Scheduled_Delivery_End,Attempt_1_Time,Attempt_2_Time,Attempt_3_Time,Total_Attempts,Delivered_Flag,OTD_Flag,Delivery_Delay_Min,FADR_Flag,Failed_Delivery_Flag,RTO_Flag,Fail_Reason,Avg_Service_Time_Min,Delivery_Density,Capacity_Utilization_Pct,LM_Cost_INR,TCO_INR,Damage_Claim_Flag,Order_Accurate_Flag,Accuracy_Issue,Customer_Rating
ORD-000059,Delhivery,Ground,Nagpur,Urban,Express,Books,Credit,Van,11.3,2023-01-14 00:11:32,2023-01-14 06:11:32,2023-01-14 00:11:32,2023-01-14 02:16:12,,2,1,1,-235.3,0,0,0,None,9.2,115.3,74.1,85.58,259.78,0,1,None,4.0
ORD-000060,DTDC,Ground,Nagpur,Urban,Express,Pharma,Prepaid,Bike,22.8,2023-08-11 14:31:46,2023-08-11 18:31:46,2023-08-11 14:31:46,,,1,1,1,-240.0,1,0,0,None,8.0,48.4,56.9,230.22,782.96,0,1,None,5.0
ORD-000061,Shadowfax,Bike,Bangalore,Urban,Express,Furniture,COD,Bike,18.4,2023-11-09 17:07:58,2023-11-09 21:07:58,2023-11-09 17:07:58,,,1,1,1,-240.0,1,0,0,None,8.1,29.4,74.2,103.03,324.44,0,1,None,5.0
ORD-000062,DTDC,Ground,Jaipur,Semi-Urban,Express,Apparel,Prepaid,Bike,4.5,2023-04-01 19:12:16,2023-04-01 23:12:16,2023-04-01 19:12:16,,,1,1,1,-240.0,1,0,0,None,5.5,42.9,87.5,27.55,91.4,0,1,None,5.0
ORD-000063,SHADOWFAX,Bike,Vadodara,Semi-Urban,Economy,Electronics,COD,Mini-Truck,9.1,2024-12-17 23:53:51,2024-12-18 01:53:51,2024-12-17 23:53:51,2024-12-18 00:49:49,2024-12-18 04:05:49,3,0,0,,0,1,0,Wrong address,7.0,41.6,63.5,152.93,510.86,0,1,None,3.0
ORD-000064,Delhivery,Ground,Pune,Rural,Standard,Grocery,Prepaid,Bike,13.9,2024-08-07 12:46:20,2024-08-07 16:46:20,2024-08-07 12:46:20,2024-08-07 15:25:35,,2,0,0,,0,1,1,Wrong address,2.7,32.7,44.5,337.87,1318.03,0,1,None,1.0
ORD-000065,Ekart,Ground,Indore,Urban,Standard,Electronics,Prepaid,Bike,32.5,2023-03-24 11:54:23,2023-03-24 15:54:23,2023-03-24 11:54:23,2023-03-24 15:23:15,,2,1,1,-31.1,0,0,0,None,4.1,21.3,99.8,379.68,1474.24,0,1,None,4.0
ORD-000066,BlueDart,Air,Nagpur,Rural,Express,FMCG,Credit,Van,1.9,2024-01-20 07:52:16,2024-01-20 13:52:16,2024-01-20 07:52:16,2024-01-20 09:44:16,2024-01-20 11:45:31,3,1,1,-126.8,0,0,0,None,11.3,29.5,45.9,12.93,47.54,1,0,Wrong quantity,5.0
ORD-000067,Shadowfax,Bike,Chennai,Urban,Economy,FMCG,Prepaid,Bike,1.6,2023-02-15 17:43:49,2023-02-15 19:43:49,2023-02-15 17:43:49,,,1,1,1,-120.0,1,0,0,None,10.7,58.7,95.9,26.3,77.0,0,1,None,4.0
ORD-000068,BlueDart,Air,Vadodara,Urban,Express,Furniture,Prepaid,Bike,13.6,2023-07-19 08:21:53,2023-07-19 10:21:53,2023-07-19 08:21:53,,,1,1,1,-120.0,1,0,0,None,8.6,13.5,99.2,220.87,571.54,0,1,None,5.0
ORD-000069,DHL-IN,Air,Surat,Urban,Express,Electronics,COD,Bike,2.0,2023-11-09 19:42:58,2023-11-10 01:42:58,2023-11-09 19:42:58,,,1,1,1,-360.0,1,0,0,None,10.3,73.2,41.7,10.98,38.74,0,1,None,3.0
ORD-000070,Ekart,Ground,Surat,Urban,Standard,Pharma,Wallet,Van,15.5,2023-07-12 06:53:33,2023-07-12 12:53:33,2023-07-12 06:53:33,,,1,1,1,-360.0,1,0,0,None,4.1,48.2,81.8,134.12,480.69,0,1,None,4.0
ORD-000071,XpressBees,Ground,Jaipur,Urban,Standard,Auto Parts,Prepaid,Bike,1.2,2024-09-27 19:56:14,2024-09-27 23:56:14,2024-09-27 19:56:14,,,1,1,1,-240.0,1,0,0,None,9.5,7.0,83.0,19.89,63.3,1,1,None,4.0
ORD-000072,Ekart,Ground,Jaipur,Semi-Urban,Standard,Books,Prepaid,Bike,18.9,2023-09-26 12:31:35,2023-09-26 16:31:35,2023-09-26 12:31:35,2023-09-26 15:41:51,,2,1,1,-49.7,0,0,0,None,8.6,106.7,40.4,169.07,596.5,0,1,None,3.0
ORD-000073,XpressBees,Ground,Vadodara,Suburban,Standard,Electronics,Credit,Bike,18.8,2023-05-17 07:00:23,2023-05-17 13:00:23,2023-05-17 07:00:23,,,1,0,0,,0,1,0,Customer absent,1.0,47.1,54.4,111.84,296.43,0,1,None,3.0
ORD-000074,Shadowfax,Bike,Mumbai,Urban,Standard,Pharma,COD,Bike,6.1,2024-01-27 10:44:59,2024-01-27 16:44:59,2024-01-27 10:44:59,,,1,1,1,-360.0,1,0,0,None,9.9,10.5,89.3,51.89,179.95,0,0,Wrong item,4.0
ORD-000075,Delhivery,Ground,Indore,Rural,Standard,Grocery,COD,Bike,10.2,2023-04-11 17:16:50,2023-04-11 23:16:50,2023-04-11 17:16:50,,,1,1,1,-360.0,1,0,0,None,11.6,95.4,60.9,149.99,396.97,0,1,None,5.0
ORD-000076,XpressBees,Ground,Bhopal,Suburban,Standard,Pharma,COD,Bike,10.5,2024-06-15 06:55:35,2024-06-15 12:55:35,2024-06-15 06:55:35,,,1,0,0,,0,1,1,Customer absent,3.6,6.1,50.1,302.16,792.09,0,1,None,3.0
ORD-000077,DTDC,Ground,Vadodara,Suburban,Economy,Grocery,COD,Bike,18.9,2023-07-29 15:20:13,2023-07-29 19:20:13,2023-07-29 15:20:13,,,1,1,1,-240.0,1,0,0,None,,22.4,72.4,202.1,637.33,0,1,None,4.0
ORD-000078,DHL-IN,Air,Chennai,Suburban,Standard,Grocery,Prepaid,Bike,19.8,2024-04-21 09:23:36,2024-04-21 13:23:36,2024-04-21 09:23:36,,,1,0,0,,0,1,1,Weather,4.2,50.8,60.3,234.4,727.48,0,1,None,1.0
ORD-000079,Shadowfax,Bike,Delhi,Suburban,Economy,Furniture,COD,Bike,4.3,2024-09-19 11:10:13,2024-09-19 17:10:13,2024-09-19 11:10:13,,,1,0,0,,0,1,0,Refused delivery,,61.7,41.4,31.53,111.57,0,1,None,1.0
ORD-000080,Shadowfax,Bike,Ahmedabad,Urban,Standard,Furniture,Prepaid,Bike,28.7,2024-03-14 18:47:51,2024-03-15 00:47:51,2024-03-14 18:47:51,,,1,0,0,,0,1,1,Refused delivery,1.2,93.5,70.4,734.98,2736.75,0,1,None,2.0
ORD-000081,Shadowfax,Bike,Jaipur,Urban,Express,Pharma,Credit,Bike,29.4,2024-06-19 05:58:42,2024-06-19 09:58:42,2024-06-19 05:58:42,,,1,1,1,-240.0,1,0,0,None,12.5,80.9,82.4,508.44,1926.68,0,1,None,4.0
ORD-000082,Shadowfax,Bike,Hyderabad,Suburban,Standard,Electronics,Prepaid,Bike,27.1,2024-12-11 18:11:35,2024-12-11 20:11:35,2024-12-11 18:11:35,,,1,1,1,-120.0,1,0,0,None,4.9,118.6,84.7,187.86,743.42,0,1,None,5.0
ORD-000083,DHL-IN,Air,Vadodara,Urban,Express,Grocery,Prepaid,Mini-Truck,5.0,2024-11-05 19:25:09,2024-11-05 21:25:09,2024-11-05 19:25:09,2024-11-05 22:13:53,2024-11-06 01:53:46,3,1,0,268.6,0,0,0,None,8.6,111.4,62.7,44.76,149.7,0,1,None,1.0
ORD-000084,Ekart,Ground,Kolkata,Suburban,Express,Apparel,Prepaid,Van,15.5,2023-06-25 18:48:13,2023-06-26 00:48:13,2023-06-25 18:48:13,,,1,1,1,-360.0,1,0,0,None,5.0,41.6,63.9,147.85,518.23,0,1,None,
ORD-000085,DTDC,Ground,Nagpur,Semi-Urban,Express,Pharma,COD,Bike,4.2,2024-07-17 04:49:56,2024-07-17 08:49:56,2024-07-17 04:49:56,,,1,0,0,,0,1,1,Customer absent,3.8,65.4,63.6,123.44,405.67,0,1,None,3.0
ORD-000086,Delhivery,Ground,Nagpur,Semi-Urban,Standard,FMCG,Prepaid,Bike,22.8,2023-07-23 02:24:40,2023-07-23 06:24:40,2023-07-23 02:24:40,2023-07-23 04:45:55,,2,1,1,-98.8,0,0,0,None,7.5,38.3,44.8,254.28,721.53,0,1,None,4.0
ORD-000087,BlueDart,Air,Jaipur,Semi-Urban,Standard,Books,Credit,Bike,33.4,2024-09-18 09:17:40,2024-09-18 15:17:40,2024-09-18 09:17:40,,,1,0,0,,0,1,0,Access issue,2.1,111.5,91.8,221.17,877.81,0,1,None,1.0
ORD-000088,Ekart,Ground,Pune,Suburban,Standard,Apparel,Prepaid,Bike,8.9,2024-03-09 02:20:35,2024-03-09 08:20:35,2024-03-09 02:20:35,2024-03-09 03:24:30,,2,1,1,-296.1,0,0,0,None,7.0,101.3,99.4,82.88,330.97,0,1,None,5.0
ORD-000089,Ekart,Ground,Pune,Urban,Economy,Electronics,Credit,Bike,4.3,2024-07-19 04:26:20,2024-07-19 06:26:20,2024-07-19 04:26:20,,,1,1,1,-120.0,1,0,0,None,9.9,12.3,88.2,21.54,79.54,0,1,None,5.0
ORD-000090,dtdc,Ground,Pune,Suburban,Express,Apparel,Credit,Bike,27.8,2023-07-31 15:19:26,2023-07-31 19:19:26,2023-07-31 15:19:26,,,1,0,0,,0,1,1,,8.0,35.1,57.1,369.46,1367.28,0,1,None,2.0
ORD-000091,XPRESSBEES,Ground,Kolkata,Suburban,Express,Grocery,COD,Bike,9.8,2024-06-19 05:43:45,2024-06-19 07:43:45,2024-06-19 05:43:45,,,1,1,1,-120.0,1,0,0,None,6.7,116.4,80.3,65.54,169.73,0,1,None,5.0
ORD-000092,Ekart,Ground,Surat,Urban,Express,Auto Parts,COD,Mini-Truck,21.0,2023-12-11 17:49:39,2023-12-11 23:49:39,2023-12-11 17:49:39,,,1,1,1,-360.0,1,0,0,None,8.6,108.7,91.9,178.72,624.91,0,1,None,5.0
ORD-000093,Shadowfax,Bike,Ahmedabad,Urban,Express,Apparel,Credit,Mini-Truck,7.7,2023-07-09 13:24:03,2023-07-09 15:24:03,2023-07-09 13:24:03,,,1,1,1,-120.0,1,0,0,None,8.8,22.3,40.4,122.56,414.58,0,1,None,5.0
ORD-000094,XpressBees,Ground,Chennai,Rural,Economy,Pharma,Prepaid,Bike,12.4,2024-08-08 17:11:29,2024-08-08 21:11:29,2024-08-08 17:11:29,2024-08-08 19:37:03,,2,1,1,-94.4,0,0,0,None,7.3,53.5,78.5,107.25,359.52,0,1,None,4.0
